S_no,name,data_2015,data_2016,data_2017,data_2018,data_rank
1,Andhra Pradesh,8477,8171,8544,8122,7
2,Arunachal Pradesh,113,95,88,89,30
3,Assam,3353,3478,3274,3963,16
4,Bihar,3227,3138,3883,4016,13
5,Chhattisgarh,4058,4042,3701,3995,15
6,Goa,1784,1438,1470,1425,21
7,Gujarat,4897,4617,4333,3997,14
8,Haryana,3509,3818,3785,4358,10
9,Himachal Pradesh,1211,1475,1460,1455,20
10,Jammu & Kashmir,1953,2122,2139,2118,18
11,Jharkhand,2007,1935,1828,1616,19
12,Karnataka,12705,14933,14217,13638,3
13,Kerala,9442,9209,8993,9161,6
14,Madhya Pradesh,11988,10709,11150,9967,4
15,Maharashtra,10839,10364,9237,9355,5
16,Manipur,404,325,372,329,25
17,Meghalaya,322,338,338,118,28
18,Mizoram,29,46,38,23,33
19,Nagaland,34,57,341,244,26
20,Odisha,4480,4214,4487,4207,11
21,Punjab,2092,2114,2533,2821,17
22,Rajasthan,6821,6567,6851,6726,8
23,Sikkim,117,90,83,64,31
24,Tamil Nadu,21902,22573,20696,19583,1
25,Telangana,5649,6166,6211,6487,9
26,Tripura,230,203,221,188,27
27,Uttarakhand,728,842,908,816,22
28,Uttar Pradesh,13802,13078,14333,16198,2
29,West Bengal,4288,4468,4158,4071,12
30,Andaman & Nicobar Islands,96,90,60,93,29
31,Chandigarh,45,47,33,46,32
32,Dadra & Nagar Haveli,0,0,0,0,34
33,Daman & Diu,6,0,9,0,34
34,Delhi,897,723,755,783,23
35,Lakshadweep,0,0,0,0,34
36,Puducherry,763,874,937,771,24
