S_no,name,data_2015,data_2016,data_2017,data_2018,data_rank
1,Andhra Pradesh,3235,3006,2898,2929,7
2,Arunachal Pradesh,49,58,41,56,28
3,Assam,1427,1295,1464,1541,15
4,Bihar,2002,2014,2540,3051,6
5,Chhattisgarh,1201,1181,1152,1384,16
6,Goa,132,113,118,104,24
7,Gujarat,2136,2141,2145,2171,9
8,Haryana,1759,1845,1990,2088,11
9,Himachal Pradesh,369,478,528,470,20
10,Jammu & Kashmir,357,403,409,400,21
11,Jharkhand,1325,1222,1250,1122,18
12,Karnataka,3657,4116,3792,3986,4
13,Kerala,1368,1263,1309,1248,17
14,Madhya Pradesh,2287,2564,2521,2601,8
15,Maharashtra,3789,3887,3637,4088,3
16,Manipur,94,46,97,88,25
17,Meghalaya,89,108,111,73,27
18,Mizoram,20,45,29,15,31
19,Nagaland,10,35,27,12,32
20,Odisha,1795,1812,2123,1999,14
21,Punjab,1538,1495,1891,2085,12
22,Rajasthan,3709,3737,4066,3874,5
23,Sikkim,37,39,30,31,29
24,Tamil Nadu,5752,6255,5892,4492,2
25,Telangana,2103,2173,1954,2064,13
26,Tripura,50,68,70,77,26
27,Uttarakhand,464,503,584,631,19
28,Uttar Pradesh,7773,7469,7946,8818,1
29,West Bengal,2243,2304,2135,2150,10
30,Andaman & Nicobar Islands,4,7,7,8,33
31,Chandigarh,19,24,16,16,30
32,Dadra & Nagar Haveli,0,0,0,0,34
33,Daman & Diu,5,0,5,0,34
34,Delhi,260,238,267,263,22
35,Lakshadweep,0,0,0,0,34
36,Puducherry,146,131,137,111,23
